# Exact known failures of examples whose expectation is `compile`.
# Format: file :: section :: sorted(error-tokens) || reason
# Migration debt only; new signatures fail and stale entries must be removed.

anti-block-on-async.md :: Good :: E0277,E0425 || legacy compile failure: repair example or add explicit rust-check metadata
proj-build-rs-minimal.md :: Good :: E0433 || standalone fragment: unresolved context
proj-feature-additive.md :: Good :: E0433,P:`#[panic_handler]` function required, but not,P:unwinding panics are not supported || legacy compile failure: repair example or add explicit rust-check metadata
proj-lib-main-split.md :: Good :: E0432,E0583 || standalone fragment: unresolved context
proj-prelude-module.md :: Good :: E0432,E0433 || standalone fragment: unresolved context
proj-pub-super-parent.md :: Good :: E0308,E0425,E0433,E0583 || legacy compile failure: repair example or add explicit rust-check metadata
proj-pub-use-reexport.md :: Good :: E0432,E0583 || standalone fragment: unresolved context
test-assert-matches.md :: Good :: P:no rules expected `=>` || legacy compile failure: repair example or add explicit rust-check metadata
test-descriptive-names.md :: Good :: E0586,P:unexpected token: `...` || extraction artifact: wrapper/context
test-fixture-raii.md :: Good :: E0133 || legacy compile failure: repair example or add explicit rust-check metadata
test-integration-dir.md :: Good :: E0432 || standalone fragment: unresolved context
test-mock-traits.md :: Good :: E0046,E0425,E0433 || legacy compile failure: repair example or add explicit rust-check metadata
test-snapshot-testing.md :: Good :: E0432 || standalone fragment: unresolved context
test-use-super.md :: Good :: E0586,P:expected identifier, found `...`,P:unexpected token: `...` || extraction artifact: wrapper/context
type-derive-more-boilerplate.md :: Good :: E0432 || standalone fragment: unresolved context
type-enum-states.md :: Good :: E0425 || standalone fragment: unresolved context
type-generic-bounds.md :: Good :: E0404,E0405,E0586,P:unexpected token: `...` || legacy compile failure: repair example or add explicit rust-check metadata
type-never-diverge.md :: Good :: E0425 || standalone fragment: unresolved context
type-newtype-ids.md :: Good :: E0425 || standalone fragment: unresolved context
type-newtype-validated.md :: Good :: E0425,E0433 || standalone fragment: unresolved context
type-no-stringly.md :: Good :: E0425 || standalone fragment: unresolved context
type-nutype-validated.md :: Good :: E0432 || standalone fragment: unresolved context
type-option-nullable.md :: Good :: E0425 || standalone fragment: unresolved context
type-phantom-marker.md :: Good :: E0586,P:unexpected token: `...` || extraction artifact: wrapper/context
type-repr-transparent.md :: Good :: E0425,P:extern blocks must be unsafe || legacy compile failure: repair example or add explicit rust-check metadata
type-result-fallible.md :: Good :: E0425,E0433 || standalone fragment: unresolved context
unsafe-strict-provenance.md :: Good :: E0252,E0425 || legacy compile failure: repair example or add explicit rust-check metadata
